state,district,market,crop,variety,date,min_price,max_price,price_per_kg
haryana,hissar,hansi,ridgeguard(tori),other,19-08-2025,3000,3500,3300
haryana,jhajar,bahadurgarh,apple,other,19-08-2025,7000,8000,7500
haryana,jhajar,bahadurgarh,bitter gourd,other,19-08-2025,3500,6000,5000
haryana,jhajar,bahadurgarh,bottle gourd,other,19-08-2025,1200,1300,1250
haryana,jhajar,bahadurgarh,brinjal,other,19-08-2025,1500,3500,3000
haryana,jhajar,bahadurgarh,tinda,other,19-08-2025,3000,7000,5000
haryana,karnal,indri,apple,other,19-08-2025,6000,6000,6000
haryana,karnal,indri,pomegranate,other,19-08-2025,9000,9000,9000
haryana,karnal,indri,tomato,other,19-08-2025,4400,4400,4400
haryana,kurukshetra,ladwa,bitter gourd,bitter gourd,19-08-2025,2500,2500,2500
haryana,kurukshetra,ladwa,bottle gourd,bottle gourd,19-08-2025,1000,1000,1000
haryana,kurukshetra,ladwa,pomegranate,pomogranate,19-08-2025,8000,8000,8000
haryana,mahendragarh-narnaul,narnaul,capsicum,capsicum,19-08-2025,4000,6000,6000
haryana,mahendragarh-narnaul,narnaul,coriander(leaves),coriander,19-08-2025,5000,5000,5000
haryana,mahendragarh-narnaul,narnaul,pear(marasebu),pears,19-08-2025,5000,5000,5000
haryana,mahendragarh-narnaul,narnaul,tender coconut,tender coconut,19-08-2025,5000,6000,6000
haryana,mewat,tauru,mousambi(sweet lime),other,19-08-2025,3500,3500,3500
haryana,panipat,panipat,banana,other,19-08-2025,2000,2400,2200
haryana,panipat,panipat,brinjal,arkasheela mattigulla,19-08-2025,700,1500,1100
haryana,panipat,panipat,cabbage,other,19-08-2025,800,1400,1100
haryana,panipat,samalkha,bhindi(ladies finger),bhindi,19-08-2025,1500,1500,1500
haryana,panipat,samalkha,colacasia,colacasia,19-08-2025,2400,2400,2400
haryana,panipat,samalkha,ginger(dry),other,19-08-2025,6000,6000,6000
haryana,panipat,samalkha,green chilli,green chilly,19-08-2025,6000,6000,6000
haryana,panipat,samalkha,lemon,lemon,19-08-2025,6000,6000,6000
haryana,panipat,samalkha,tomato,local,19-08-2025,2900,2900,2900
haryana,rewari,kosli,bottle gourd,bottle gourd,19-08-2025,1000,1000,1000
haryana,rewari,kosli,cucumbar(kheera),other,19-08-2025,1800,1800,1800
haryana,rewari,kosli,potato,other,19-08-2025,1000,1000,1000
haryana,rohtak,meham,apple,apple,19-08-2025,3000,5000,4000
haryana,rohtak,meham,banana,other,19-08-2025,1600,1600,1600
haryana,rohtak,meham,bhindi(ladies finger),bhindi,19-08-2025,2000,2000,2000
haryana,rohtak,meham,guava,guava,19-08-2025,500,1200,800
haryana,rohtak,meham,mousambi(sweet lime),mousambi,19-08-2025,2500,2800,2600
haryana,rohtak,meham,onion,other,19-08-2025,1700,1700,1700
haryana,rohtak,rohtak,mousambi(sweet lime),other,19-08-2025,2000,3500,2500
haryana,rohtak,rohtak,pineapple,other,19-08-2025,2000,3500,2500
haryana,sonipat,ganaur,capsicum,capsicum,19-08-2025,3500,4000,3800
haryana,sonipat,ganaur,carrot,carrot,19-08-2025,3500,4000,3800
haryana,sonipat,ganaur,cucumbar(kheera),cucumbar,19-08-2025,1500,2000,1800
haryana,sonipat,ganaur,raddish,raddish,19-08-2025,2000,2500,2200
haryana,sonipat,gohana,brinjal,other,19-08-2025,1200,3000,2000
haryana,sonipat,gohana,green chilli,other,19-08-2025,5000,7000,6000
haryana,sonipat,sonepat,apple,other,19-08-2025,4200,5200,4200
haryana,sonipat,sonepat,cucumbar(kheera),other,19-08-2025,1500,3200,1500
haryana,sonipat,sonepat,onion,other,19-08-2025,1200,1600,1200
haryana,yamuna nagar,chhachrauli,apple,apple,19-08-2025,12000,12000,12000
haryana,yamuna nagar,chhachrauli,onion,onion,19-08-2025,1900,2500,1900
haryana,yamuna nagar,chhachrauli,potato,potato,19-08-2025,1100,1200,1100
haryana,yamuna nagar,chhachrauli,ridgeguard(tori),ridgeguard(tori),19-08-2025,1800,2000,1800
haryana,yamuna nagar,jagadhri,apple,other,19-08-2025,4000,8000,7000
haryana,yamuna nagar,jagadhri,cabbage,other,19-08-2025,1000,1200,1100
haryana,yamuna nagar,jagadhri,onion,other,19-08-2025,1400,1800,1600
haryana,yamuna nagar,jagadhri,potato,other,19-08-2025,900,1040,1025
haryana,yamuna nagar,jagadhri,raddish,other,19-08-2025,1500,1800,1650
haryana,yamuna nagar,sadhaura,capsicum,capsicum,19-08-2025,3000,5000,4000
haryana,yamuna nagar,sadhaura,onion,onion,19-08-2025,1600,1800,1700
himachal pradesh,bilaspur,bilaspur,cauliflower,other,19-08-2025,3500,5000,4800
himachal pradesh,bilaspur,bilaspur,potato,local,19-08-2025,1200,2400,1600
himachal pradesh,bilaspur,bilaspur,tomato,local,19-08-2025,4000,6200,4800
himachal pradesh,chamba,chamba,cauliflower,other,19-08-2025,5000,5500,5250
himachal pradesh,chamba,chamba,green chilli,other,19-08-2025,6000,7000,6500
himachal pradesh,chamba,chamba,onion,other,19-08-2025,2300,2500,2400
himachal pradesh,chamba,chamba,tomato,other,19-08-2025,6000,6500,6250
himachal pradesh,kangra,dharamshala,brinjal,other,19-08-2025,2600,3000,2800
himachal pradesh,kangra,dharamshala,french beans (frasbean),other,19-08-2025,9000,10000,9500
himachal pradesh,kangra,dharamshala,green chilli,other,19-08-2025,6000,7000,6500
himachal pradesh,kangra,kangra,banana,other,19-08-2025,4000,5000,4500
himachal pradesh,kangra,kangra,bottle gourd,other,19-08-2025,2500,4000,3500
himachal pradesh,kangra,kangra,ginger(green),other,19-08-2025,7800,8000,7900
himachal pradesh,kangra,kangra,guava,other,19-08-2025,5000,6000,5500
himachal pradesh,kangra,kangra,onion,other,19-08-2025,2200,2400,2300
himachal pradesh,kangra,kangra,pumpkin,other,19-08-2025,1500,2200,1800
himachal pradesh,kangra,kangra,tomato,other,19-08-2025,5600,6000,5800
himachal pradesh,kangra,kangra(baijnath),bottle gourd,bottle gourd,19-08-2025,3400,4500,4000
himachal pradesh,kangra,kangra(baijnath),capsicum,capsicum,19-08-2025,7400,7500,7500
himachal pradesh,kangra,kangra(baijnath),lemon,lemon,19-08-2025,6500,7000,6800
himachal pradesh,kangra,kangra(baijnath),peas wet,other,19-08-2025,10800,11000,10900
himachal pradesh,kangra,kangra(jaisinghpur),bottle gourd,bottle gourd,19-08-2025,2800,3500,3100
himachal pradesh,kangra,kangra(jaisinghpur),papaya,other,19-08-2025,3300,3400,3350
himachal pradesh,kangra,kangra(nagrota bagwan),banana,amruthapani,19-08-2025,4000,4800,4500
himachal pradesh,kangra,kangra(nagrota bagwan),brinjal,arkasheela mattigulla,19-08-2025,2000,2800,2400
himachal pradesh,kangra,kangra(nagrota bagwan),french beans (frasbean),french beans (frasbean),19-08-2025,8000,9000,8500
himachal pradesh,kangra,kangra(nagrota bagwan),green chilli,green chilly,19-08-2025,5000,5500,5200
himachal pradesh,kangra,kangra(nagrota bagwan),lemon,lemon,19-08-2025,5000,6000,5500
himachal pradesh,kangra,palampur,bitter gourd,other,19-08-2025,3800,4000,3900
himachal pradesh,kangra,palampur,bottle gourd,bottle gourd,19-08-2025,2500,3000,2700
himachal pradesh,kangra,palampur,colacasia,colacasia,19-08-2025,2500,3000,2700
himachal pradesh,kangra,palampur,lemon,other,19-08-2025,7000,8000,7500
himachal pradesh,kangra,palampur,pumpkin,other,19-08-2025,1500,2000,1700
himachal pradesh,kangra,palampur,raddish,raddish,19-08-2025,2000,2500,2200
himachal pradesh,kullu,bandrol,cauliflower,other,19-08-2025,1000,1500,1200
himachal pradesh,kullu,bhuntar,cauliflower,other,19-08-2025,1000,2000,1500
himachal pradesh,kullu,bhuntar,garlic,other,19-08-2025,4000,10000,7000
himachal pradesh,kullu,bhuntar,potato,other,19-08-2025,2500,2800,2600
himachal pradesh,kullu,bhuntar,tomato,other,19-08-2025,1000,3000,2000
himachal pradesh,kullu,kullu(chauri bihal),cucumbar(kheera),other,19-08-2025,500,1200,1000
himachal pradesh,mandi,mandi(mandi),bottle gourd,bottle gourd,19-08-2025,2000,2800,2500
himachal pradesh,mandi,mandi(mandi),brinjal,other,19-08-2025,1000,2500,1500
himachal pradesh,mandi,mandi(mandi),colacasia,colacasia,19-08-2025,2000,3000,2500
himachal pradesh,mandi,mandi(mandi),garlic,other,19-08-2025,10000,10000,10000
himachal pradesh,mandi,mandi(mandi),onion,onion,19-08-2025,2000,2500,2200
himachal pradesh,mandi,mandi(mandi),peas cod,peas cod,19-08-2025,2000,6000,6000
himachal pradesh,mandi,mandi(mandi),spinach,other,19-08-2025,3000,4000,4000
himachal pradesh,sirmore,nahan,bitter gourd,bitter gourd,19-08-2025,2000,2500,2200
himachal pradesh,sirmore,nahan,bottle gourd,bottle gourd,19-08-2025,1500,2000,1800
himachal pradesh,sirmore,nahan,green chilli,other,19-08-2025,4000,5000,4500
himachal pradesh,sirmore,paonta sahib,french beans (frasbean),other,19-08-2025,5000,6000,5500
himachal pradesh,sirmore,paonta sahib,green chilli,other,19-08-2025,4000,5000,4500
himachal pradesh,sirmore,paonta sahib,potato,other,19-08-2025,1000,1500,1200
himachal pradesh,sirmore,paonta sahib,pumpkin,other,19-08-2025,1500,2000,1800
himachal pradesh,solan,waknaghat,capsicum,capsicum,19-08-2025,1000,3000,3000
himachal pradesh,solan,waknaghat,french beans (frasbean),french beans (frasbean),19-08-2025,4000,5000,5000
himachal pradesh,solan,waknaghat,tomato,deshi,19-08-2025,1000,3400,3400
jammu and kashmir,anantnag,kulgam,apple,other,19-08-2025,3529.41,5352.94,5294.12
jammu and kashmir,anantnag,kulgam,pear(marasebu),other,19-08-2025,2250,4000,3750
jammu and kashmir,baramulla,nowpora,pear(marasebu),other,19-08-2025,2900,5900,4400
jammu and kashmir,jammu,narwal jammu (f&v),apple,delicious,19-08-2025,3000,7000,5000
jammu and kashmir,jammu,narwal jammu (f&v),cauliflower,other,19-08-2025,2000,2600,2300
jammu and kashmir,jammu,narwal jammu (f&v),french beans (frasbean),french beans (frasbean),19-08-2025,4000,5000,4500
jammu and kashmir,jammu,narwal jammu (f&v),ginger(green),other,19-08-2025,4000,5000,4500
jammu and kashmir,jammu,narwal jammu (f&v),green chilli,other,19-08-2025,3500,4500,4000
jammu and kashmir,jammu,narwal jammu (f&v),knool khol,other,19-08-2025,2500,3000,2750
jammu and kashmir,jammu,narwal jammu (f&v),papaya,other,19-08-2025,3000,3400,3200
jammu and kashmir,jammu,narwal jammu (f&v),plum,other,19-08-2025,4000,5000,4500
jammu and kashmir,jammu,narwal jammu (f&v),pomegranate,other,19-08-2025,8000,14000,11000
jammu and kashmir,jammu,narwal jammu (f&v),ridgeguard(tori),other,19-08-2025,2300,2500,2400
jammu and kashmir,kathua,kathua,apple,delicious,19-08-2025,10000,12000,11000
jammu and kashmir,kathua,kathua,bitter gourd,other,19-08-2025,2500,3000,2750
jammu and kashmir,kathua,kathua,cabbage,other,19-08-2025,2000,2200,2100
jammu and kashmir,kathua,kathua,cucumbar(kheera),other,19-08-2025,2000,2200,2100
jammu and kashmir,kathua,kathua,garlic,garlic,19-08-2025,12000,13000,12500
jammu and kashmir,kathua,kathua,ginger(green),other,19-08-2025,6000,6500,6250
jammu and kashmir,kathua,kathua,guava,other,19-08-2025,8000,8500,8250
jammu and kashmir,kathua,kathua,mashrooms,mashrooms,19-08-2025,13000,14000,13500
jammu and kashmir,kathua,kathua,mousambi(sweet lime),other,19-08-2025,6000,7000,6500
jammu and kashmir,rajouri,rajouri (f&v),bhindi(ladies finger),other,19-08-2025,3500,3700,3600
jammu and kashmir,rajouri,rajouri (f&v),green chilli,other,19-08-2025,6000,6200,6100
jammu and kashmir,rajouri,rajouri (f&v),tomato,other,19-08-2025,6000,6200,6100
jammu and kashmir,srinagar,parimpore,apple,other,19-08-2025,4500,5500,5000
jammu and kashmir,srinagar,parimpore,cabbage,other,19-08-2025,1800,2000,1900
jammu and kashmir,srinagar,parimpore,mango,other,19-08-2025,11000,13000,12000
jammu and kashmir,srinagar,parimpore,pineapple,pine apple,19-08-2025,9500,10000,9750
jammu and kashmir,srinagar,parimpore,tomato,other,19-08-2025,4500,5000,4750
jammu and kashmir,udhampur,udhampur,cucumbar(kheera),other,19-08-2025,2000,2500,2250
jammu and kashmir,udhampur,udhampur,indian beans (seam),other,19-08-2025,5500,6000,5750
jammu and kashmir,udhampur,udhampur,papaya,papaya,19-08-2025,4000,4500,4250
karnataka,bangalore,ramanagara,ashgourd,ashgourd,19-08-2025,1600,2400,2000
karnataka,bangalore,ramanagara,beans,beans (whole),19-08-2025,2400,3500,3000
karnataka,bangalore,ramanagara,cabbage,cabbage,19-08-2025,800,1000,900
karnataka,bangalore,ramanagara,carrot,carrot,19-08-2025,4000,5600,5000
karnataka,bangalore,ramanagara,knool khol,knool khol,19-08-2025,3000,4400,4000
karnataka,bangalore,ramanagara,ridgeguard(tori),ridgeguard(tori),19-08-2025,2800,4000,3500
karnataka,chamrajnagar,chamaraj nagar,coconut,grade-i,19-08-2025,14000,31000,20800
karnataka,chamrajnagar,chamaraj nagar,ridgeguard(tori),ridgeguard(tori),19-08-2025,2000,2600,2300
karnataka,davangere,davangere,banana,elakki bale,19-08-2025,5000,5500,5200
karnataka,davangere,davangere,brinjal,round/long,19-08-2025,1800,2300,2100
karnataka,davangere,davangere,cabbage,cabbage,19-08-2025,1600,2000,1800
karnataka,davangere,davangere,garlic,garlic,19-08-2025,1500,3900,2700
karnataka,davangere,davangere,green avare (w),green avare (w),19-08-2025,1900,2300,2000
karnataka,davangere,davangere,green chilli,green chilly,19-08-2025,2100,2500,2300
karnataka,davangere,davangere,pomegranate,pomogranate,19-08-2025,4000,5000,4500
karnataka,davangere,davangere,ridgeguard(tori),ridgeguard(tori),19-08-2025,2000,2500,2300
karnataka,davangere,davangere,suvarna gadde,suvarnagadde,19-08-2025,1600,2000,1900
karnataka,kolar,malur,beans,beans (whole),19-08-2025,3000,6000,5000
karnataka,shimoga,shimoga,black gram dal (urd dal),black gram dal,19-08-2025,9500,12000,10750
karnataka,shimoga,shimoga,drumstick,drumstick,19-08-2025,1800,2000,1900
karnataka,shimoga,shimoga,rice,fine,19-08-2025,4600,6500,5590
karnataka,shimoga,shimoga,thondekai,thondekai,19-08-2025,3800,4000,3900
karnataka,shimoga,shimoga,wheat,super fine,19-08-2025,3200,4600,3900
kerala,alappuzha,aroor,cabbage,other,19-08-2025,3400,3600,3500
kerala,alappuzha,aroor,carrot,other,19-08-2025,7800,8000,7900
kerala,alappuzha,aroor,cauliflower,other,19-08-2025,5000,5200,5100
kerala,alappuzha,chengannur,ashgourd,other,19-08-2025,1900,2200,2000
kerala,alappuzha,chengannur,bottle gourd,other,19-08-2025,1900,2200,2000
kerala,alappuzha,chengannur,brinjal,brinjal,19-08-2025,3900,4200,4000
kerala,alappuzha,chengannur,coconut,big,19-08-2025,6400,6800,6500
kerala,alappuzha,chengannur,mango (raw-ripe),mango - raw-ripe,19-08-2025,6800,7200,7000
kerala,alappuzha,chengannur,pumpkin,other,19-08-2025,2300,2600,2400
kerala,alappuzha,chengannur,tomato,tomato,19-08-2025,3800,4000,4000
kerala,alappuzha,cherthala,ashgourd,other,19-08-2025,3200,3400,3300
kerala,alappuzha,cherthala,bitter gourd,other,19-08-2025,4800,5000,4900
kerala,alappuzha,cherthala,cauliflower,cauliflower,19-08-2025,4200,4400,4300
kerala,alappuzha,cherthala,green chilli,green chilly,19-08-2025,6000,6200,6100
kerala,alappuzha,cherthala,ridgeguard(tori),other,19-08-2025,4200,4400,4300
kerala,alappuzha,harippad,banana,nendra bale,19-08-2025,5000,5500,5000
kerala,alappuzha,kayamkulam,amphophalus,other,19-08-2025,4600,4800,4700
kerala,alappuzha,kayamkulam,ashgourd,other,19-08-2025,1300,1500,1400
kerala,alappuzha,kayamkulam,banana,palayamthodan,19-08-2025,2200,2400,2300
kerala,alappuzha,kayamkulam,cabbage,other,19-08-2025,1700,1900,1800
kerala,alappuzha,kayamkulam,onion,small,19-08-2025,3400,3600,3500
kerala,alappuzha,kayamkulam,snakeguard,other,19-08-2025,4200,4400,4300
kerala,ernakulam,aluva,banana,palayamthodan,19-08-2025,2500,2700,2600
kerala,ernakulam,aluva,cucumbar(kheera),cucumbar,19-08-2025,3500,5000,4300
kerala,ernakulam,aluva,elephant yam (suran),other,19-08-2025,4000,5000,4500
kerala,ernakulam,mazhuvannur vfpck,elephant yam (suran),elephant yam (suran),19-08-2025,3400,4400,4000
kerala,ernakulam,north paravur,amphophalus,amphophalus,19-08-2025,4500,5000,4800
kerala,ernakulam,north paravur,banana - green,banana - green,19-08-2025,3800,4500,4000
kerala,ernakulam,north paravur,carrot,carrot,19-08-2025,7200,8000,7500
kerala,ernakulam,north paravur,cauliflower,african sarson,19-08-2025,3000,4000,3500
kerala,ernakulam,north paravur,coconut,big,19-08-2025,7200,8000,7500
kerala,ernakulam,north paravur,colacasia,colacasia,19-08-2025,4000,5000,4500
kerala,ernakulam,north paravur,cucumbar(kheera),cucumbar,19-08-2025,3800,4500,4000
kerala,ernakulam,north paravur,garlic,average,19-08-2025,9500,10000,9800
kerala,ernakulam,north paravur,pumpkin,other,19-08-2025,2000,2400,2200
kerala,ernakulam,perumbavoor,amaranthus,amaranthus,19-08-2025,2000,3000,2500
kerala,ernakulam,perumbavoor,cucumbar(kheera),cucumbar,19-08-2025,1600,2600,2000
kerala,ernakulam,perumbavoor,field pea,field pea,19-08-2025,2600,3600,3000
